;pred;obs;;pred;;obs
2643;0,070821159;0,020620534;;49347,40356;;25000,00023
3167;0,191969097;0,023919489;;108104,3958;;26600
120;0,181428507;0,036084387;;102992,1887;;32499,99986
1776;0,185859069;0,036084387;;105141,0203;;32499,99986
2417;0,105056524;0,041239005;;65951,62439;;34999,9999
3099;0,329738021;0,049074024;;174922,5996;;38799,99979
2817;0,076594718;0,050723502;;52147,59132;;39599,99992
2541;0,072210506;0,053403903;;50021,23964;;40899,99976
470;0,161832109;0,054228642;;93487,89657;;41299,99983
2918;0,090005398;0,054434827;;58651,79794;;41399,99996
2933;0,130459666;0,055259566;;78272,19905;;41800,00003
187;0,080967858;0,05587812;;54268,57328;;42099,99996
1375;0,062979385;0,05587812;;45544,12781;;42099,99996
1026;0,242872894;0,056702859;;132792,8392;;42500,00002
1928;0,142977297;0,056702859;;84343,27515;;42500,00002
2690;0,104312859;0,057733783;;65590,94547;;43000,00022
2863;0,069349498;0,058764706;;48633,64501;;43499,99994
800;0,060439918;0,058970891;;44312,4812;;43600,00008
1037;0,085710362;0,05938326;;56568,6968;;43799,99987
1408;0,080185041;0,05979563;;53888,90517;;44000,00014
2183;0,115858205;0,062063662;;71190,46098;;45100,0002
615;0,121285185;0,0628884;;73822,5574;;45499,99978
2708;0,094278939;0,065362617;;60724,47401;;46699,99997
1578;0,077207766;0,065568802;;52444,92116;;46800,00011
1282;0,442611784;0,065774986;;229666,6003;;46899,99976
1576;0,071808226;0,065774986;;49826,13342;;46899,99976
2532;0,095212713;0,067012095;;61177,35617;;47500,0001
3154;0,137158453;0,067012095;;81521,12425;;47500,0001
3023;0,066341169;0,067630649;;47174,59973;;47800,00003
3106;0,091057964;0,068249203;;59162,2945;;48099,99995
2395;0,128072813;0,068661573;;77114,57052;;48300,00023
2523;0,13264814;0,068661573;;79333,61329;;48300,00023
2514;0,173773959;0,069073942;;99279,7178;;48500,00002
2442;0,247609958;0,069280127;;135090,3249;;48600,00016
3057;0,096411452;0,07031105;;61758,7469;;49099,99987
3131;0,090555348;0,070517235;;58918,52465;;49200,00001
113;0,076119028;0,07072342;;51916,88083;;49300,00015
1410;0,124903515;0,071341974;;75577,45457;;49600,00007
2884;0,079389095;0,071754343;;53502,87;;49799,99986
1603;0,072469123;0,072166713;;50146,66945;;50000,00014
2459;0,091949135;0,072166713;;59594,5144;;50000,00014
1175;0,074498057;0,072372897;;51130,70682;;50099,99979
3333;0,064364493;0,073403821;;46215,90778;;50599,99999
2546;0,047612995;0,074022375;;38091,39776;;50899,99992
96;0,129533589;0,074847114;;77823,04968;;51299,99998
2135;0,216782913;0,074847114;;120139,1462;;51299,99998
